Page,Line,Ignore_issues,Issue_exits
458,5,"missing blue(6) at position 1 [43, 28]",no
458,5,"missing orange(3) at position 2 [43, 28]",no
459,3,"extra green(1) at position 26 [22, 19]",no
460,6,"extra green(1) at position 21 [7, 14]",no
460,9,"extra pink(2) at position 10 [19, 9]",no
460,11,"extra green(1) at position 22 [13, 17]",no
460,14,"extra green(1) at position 23 [13, 9]",no
462,14,"extra green(1) at position 8 [8, 14]",no
464,3,"missing green(1) at position 24 [28, 13]",no
464,4,"extra green(1) at position 13 [14, 10]",no
466,12,"extra pink(1) at position 12 [8, 14]",no
467,2,"missing blue(1) at position 20 [10, 19]",no
467,3,"missing green(38) at position 1 [345, 11]",no
467,3,"missing orange(28) at position 5 [14, 10]",no
467,4,"missing blue(6) at position 1 [43, 28]",no
467,4,"missing orange(3) at position 2 [44, 28]",no
469,2,"extra green(1) at position 6 [13, 10]",no
470,3,"extra green(1) at position 13 [9, 19]",no
470,3,"extra pink(1) at position 16 [12, 10]",no
470,13,"extra blue(1) at position 8 [32, 33]",no
470,14,"extra green(1) at position 14 [13, 10]",no
472,11,"extra pink(1) at position 14 [7, 7]",no
472,13,"extra green(1) at position 15 [20, 14]",no
473,2,"extra pink(1) at position 7 [13, 10]",no
473,6,"extra pink(1) at position 9 [20, 9]",no
474,7,"extra green(1) at position 6 [8, 7]",no
474,14,"extra green(1) at position 14 [20, 9]",no
475,2,"extra green(1) at position 16 [13, 10]",no
475,3,"missing green(1) at position 31 [5, 6]",no
475,6,"extra green(1) at position 9 [32, 30]",no
475,11,"extra green(1) at position 25 [7, 15]",no
475,14,"extra green(1) at position 15 [20, 14]",no
476,6,"extra green(1) at position 4 [24, 18]",no
476,10,"extra green(1) at position 19 [13, 9]",no
477,1,"missing green(38) at position 1 [346, 12]",no
477,1,"missing orange(28) at position 5 [12, 8]",no
477,2,"missing blue(6) at position 1 [43, 29]",no
477,2,"missing orange(3) at position 2 [44, 28]",no
478,7,"missing green(1) at position 24 [25, 12]",no
481,1,"extra green(1) at position 23 [8, 40]",no
481,10,"extra green(1) at position 15 [20, 9]",no
483,2,"missing green(38) at position 1 [43, 29]",no
483,2,"missing orange(31) at position 5 [94, 49]",no
483,2,"missing blue(6) at position 34 [90, 84]",no
485,6,"missing green(1) at position 14 [9, 18]",no
486,4,"extra green(1) at position 25 [8, 14]",no
489,5,"missing green(38) at position 1 [345, 11]",no
489,5,"missing orange(28) at position 5 [14, 10]",no
489,6,"missing blue(6) at position 1 [43, 28]",no
489,6,"missing orange(3) at position 2 [44, 28]",no
490,1,"extra green(1) at position 16 [19, 13]",no
490,2,"missing green(1) at position 5 [10, 8]",no
491,2,"extra pink(1) at position 27 [7, 15]",no
493,15,"extra pink(1) at position 20 [20, 9]",no
495,14,"extra green(1) at position 31 [7, 15]",no
495,15,"extra green(1) at position 3 [14, 9]",no
496,1,"missing green(37) at position 1 [345, 11]",no
496,1,"missing orange(28) at position 5 [14, 10]",no
496,2,"missing blue(6) at position 1 [43, 28]",no
